0	Date	20080729_182327
1	ScenarioFile	/Users/participant/Desktop/Experiment Scenarios/P04_Day1/P04 1-1 (Sound No Gaze No File 1).scenario
1	ScreenResolution	1280	1024
0	TrackingError	-0.19	3.20	3.20	3.20
2	GazeContingent	TrackingOn
4	GazeContingent	TacticalOn
14	EyeGaze	0	496	257	1
14	EyeGaze	1	491	252	1
14	EyeGaze	2	497	272	1
14	EyeGaze	3	505	285	1
14	EyeGaze	4	518	280	1
14	EyeGaze	5	538	265	1
14	EyeGaze	6	555	264	1
14	EyeGaze	7	572	257	1
14	EyeGaze	8	575	253	1
14	EyeGaze	9	565	270	1
14	EyeGaze	10	562	288	1
15	EyeGaze	11	563	274	1
15	EyeGaze	12	565	261	1
15	EyeGaze	13	565	265	1
15	EyeGaze	14	563	274	1
15	EyeGaze	15	566	272	1
15	EyeGaze	16	566	272	1
15	EyeGaze	17	567	270	1
15	EyeGaze	18	566	273	1
15	EyeGaze	19	566	276	1
15	EyeGaze	20	567	278	1
15	EyeGaze	21	567	278	1
15	EyeGaze	22	570	270	1
15	EyeGaze	23	565	288	1
15	EyeGaze	24	555	300	1
15	EyeGaze	25	560	285	1
15	EyeGaze	26	565	273	1
15	EyeGaze	27	563	273	1
15	EyeGaze	28	567	272	1
15	EyeGaze	29	567	266	1
15	EyeGaze	30	570	269	1
15	EyeGaze	31	582	273	1
15	EyeGaze	32	601	269	1
15	EyeGaze	33	616	272	1
15	EyeGaze	34	628	276	1
15	EyeGaze	35	630	278	1
15	EyeGaze	36	627	280	1
15	EyeGaze	37	627	277	1
15	EyeGaze	38	630	273	1
15	EyeGaze	39	628	280	1
15	EyeGaze	40	627	285	1
15	EyeGaze	41	631	284	1
15	EyeGaze	42	632	281	1
15	EyeGaze	43	628	284	1
15	EyeGaze	44	625	289	1
15	EyeGaze	45	626	289	1
15	EyeGaze	46	628	288	1
15	EyeGaze	47	626	293	1
15	EyeGaze	48	626	290	1
15	EyeGaze	49	628	289	1
